FLT_cluster_01,FLT_cluster_02,FLT_cluster_03,FLT_cluster_04,FLT_cluster_05,FLT_cluster_06,FLT_cluster_07,FLT_cluster_08,FLT_cluster_09,FLT_cluster_10,FLT_cluster_11,FLT_cluster_12,FLT_cluster_13,FLT_cluster_14,FLT_cluster_15,GC_cluster_01,GC_cluster_02,GC_cluster_03,GC_cluster_04,GC_cluster_05,GC_cluster_06,GC_cluster_07,GC_cluster_08,GC_cluster_09,GC_cluster_10,GC_cluster_11,GC_cluster_12,GC_cluster_13,GC_cluster_14
Cops5,Rpap2,Trim10,Pkn3,,,,,,,,,,,,9030204H09Rik,Dclk1,Pdrg1,Peg3,,,,,,,,,,
Fam126a,Idua,ENSMUSG00000056018,Batf,,,,,,,,,,,,H2ac22,Bbof1,Rusf1,Thap2,,,,,,,,,,
Rcor1,Gbp4,Slit1,Oip5,,,,,,,,,,,,Cacna1b,Kcnab1,Mast3,Ndc1,,,,,,,,,,
Tmem167,Rassf5,ENSMUSG00000000617,Shc2,,,,,,,,,,,,Gpr179,Cd226,Flot1,Cherp,,,,,,,,,,
Snx5,Lonrf1,Zcchc18,Gnb1l,,,,,,,,,,,,Xrra1,Kcnq5,Lrrc41,Zfp704,,,,,,,,,,
Acad9,Fzd1,Pou6f2,Zfp783,,,,,,,,,,,,Adra2a,Crlf2,Myh10,Wdr37,,,,,,,,,,
Npepps,Polr3h,ENSMUSG00000029510,Tmprss11d,,,,,,,,,,,,BC107364,Cfap77,Cnp,Abca5,,,,,,,,,,
Numb,Vhl,Fxyd2,Zfp580,,,,,,,,,,,,ENSMUSG00000006313,Gm14204,Dnmt1,Soat1,,,,,,,,,,
Cadm1,Cc2d2a,Olfr9,Mapk11,,,,,,,,,,,,ENSMUSG00000053367,Fsd1l,Arhgap31,Tmem199,,,,,,,,,,
Map4k5,Grtp1,1700102P08Rik,Olfr1349,,,,,,,,,,,,Tmem182,Tmem218,Lemd2,Zmynd19,,,,,,,,,,
Dnajb6,Zfp563,Vmn1r52,Olfr675,,,,,,,,,,,,ENSMUSG00000024798,Fgr,Fbxo31,Tyms,,,,,,,,,,
Sav1,Mapre3,Dio3,Ccdc69,,,,,,,,,,,,Dpysl4,Foxn1,Rtn4rl1,Vps45,,,,,,,,,,
Cep43,Filip1l,Cts8,Bcl11b,,,,,,,,,,,,Avil,Mir124-2hg,Rasa3,Wdr12,,,,,,,,,,
Ercc5,Riok1,Gm12238,Trpc3,,,,,,,,,,,,Fgf7,Sertad3,Mms19,Elp4,,,,,,,,,,
Gsto1,Clk2,1700121L16Rik,Krtcap3,,,,,,,,,,,,ENSMUSG00000116031,D130040H23Rik,Prdm2,Tpk1,,,,,,,,,,
Kmt5a,Acot2,Olfr1259,Six2,,,,,,,,,,,,Sele,Ankrd37,Tmed3,Zfp120,,,,,,,,,,
Cep68,Zfp229,Abca14,Tafa1,,,,,,,,,,,,Htr1d,Olfr338,Pkhd1,Noc3l,,,,,,,,,,
Ccdc25,Rnf135,Ppp1r1c,Olfr394,,,,,,,,,,,,C230035I16Rik,Traf3ip2,Egfl7,Cdc23,,,,,,,,,,
Pank2,Pstk,Pcdhb10,Olfr914,,,,,,,,,,,,Olfr698,Mgat4c,Phka2,Gemin2,,,,,,,,,,
Smad4,Cers4,ENSMUSG00000029337,Cd8b1,,,,,,,,,,,,ENSMUSG00000100459,Abcb1b,Elmo3,Rab12,,,,,,,,,,
Mapk9,Smoc2,Qrfp,Plet1os,,,,,,,,,,,,Tubal3,Pcdhb22,Naglu,Nans,,,,,,,,,,
Tbck,Naa20,Mybpc3,Trem3,,,,,,,,,,,,ENSMUSG00000095765,Lef1,Pisd,Tbc1d12,,,,,,,,,,
Guf1,Klf6,ENSMUSG00000059504,Myo15,,,,,,,,,,,,Creb3l4,E030030I06Rik,Strip1,Champ1,,,,,,,,,,
Ilf3,Ints12,H2ac13,Plcxd3,,,,,,,,,,,,Reg1,Rom1,Txnl4a,Zfyve27,,,,,,,,,,
Agfg1,Slf1,Mir186,F730035M05Rik,,,,,,,,,,,,Izumo1,Cd274,Pofut2,Tbcb,,,,,,,,,,
Rbis,Entpd1,ENSMUSG00000022053,Tmeff2,,,,,,,,,,,,Cacna1h,Il21r,Elac2,Fam53a,,,,,,,,,,
Cops4,Hmgxb4,Csn3,Tex14,,,,,,,,,,,,ENSMUSG00000053121,9530077C05Rik,Surf6,Inpp1,,,,,,,,,,
Albfm1,Far1,Dll3,Trpc6,,,,,,,,,,,,ENSMUSG00000066031,Adgrl3,Neurl4,,,,,,,,,,,
Nhlrc3,Pdcd7,Snord23,Ifitm10,,,,,,,,,,,,Vil1,Yy2,Capn10,,,,,,,,,,,
Slc35f5,Ccl6,Mir5098,Pdzd7,,,,,,,,,,,,P2rx1,2010016I18Rik,Neu1,,,,,,,,,,,
Ddr2,Papolg,Slc6a20a,Boll,,,,,,,,,,,,ENSMUSG00000033316,Mis18bp1,Coa7,,,,,,,,,,,
Homer2,Lix1l,4930405A10Rik,Adamts19,,,,,,,,,,,,Sprr1a,Hivep3,Carm1,,,,,,,,,,,
Rbm3,Lrif1,Olfr816,Tcea2,,,,,,,,,,,,Rnft2,Agpat4,Pus1,,,,,,,,,,,
Oma1,Gtf3a,Adgrg7,Triqk,,,,,,,,,,,,ENSMUSG00000059887,B130024G19Rik,Spint2,,,,,,,,,,,
Samd8,Ro60,Efhd1,D830030K20Rik,,,,,,,,,,,,Gm13582,Clec4a2,Pla2g6,,,,,,,,,,,
Asnsd1,Robo2,Krt17,Syt13,,,,,,,,,,,,Mir1955,Kif15,Clpp,,,,,,,,,,,
Rin2,Rev1,ENSMUSG00000076121,Lat2,,,,,,,,,,,,ENSMUSG00000100860,Ace,Cars,,,,,,,,,,,
Rps6ka3,Ovca2,ENSMUSG00000040231,Tnfsf14,,,,,,,,,,,,ENSMUSG00000075210,Phf19,Pxn,,,,,,,,,,,
Mpv17l,Jmjd4,ENSMUSG00000096228,,,,,,,,,,,,,Spatc1l,Tlnrd1,Ybx3,,,,,,,,,,,
Phactr2,Ankrd16,ENSMUSG00000031364,,,,,,,,,,,,,Klra3,Klre1,Atp6v1f,,,,,,,,,,,
Map3k7,Amn1,Sema4f,,,,,,,,,,,,,Gabrp,Adam11,Wdr83os,,,,,,,,,,,
Dhx36,Mlh1,Olfr1047,,,,,,,,,,,,,ENSMUSG00000022296,Lrrn4cl,Bcar1,,,,,,,,,,,
Faf1,Hcls1,BC016579,,,,,,,,,,,,,C1qtnf4,Col16a1,H2-Eb1,,,,,,,,,,,
Dctn5,Ctcflos,S100b,,,,,,,,,,,,,B4galnt2,Cd3g,Bcas3,,,,,,,,,,,
Steep1,Rhoq,Vmn1r167,,,,,,,,,,,,,ENSMUSG00000058046,Nuf2,Abcg1,,,,,,,,,,,
Ilkap,2310001H17Rik,Spink4,,,,,,,,,,,,,ENSMUSG00000047203,Snhg18,Slc4a2,,,,,,,,,,,
Akirin1,Zfp84,Slc38a5,,,,,,,,,,,,,ENSMUSG00000090894,Wdr90,C1qc,,,,,,,,,,,
Immp1l,Pomk,Ctrcos,,,,,,,,,,,,,ENSMUSG00000071185,Jazf1,Ezh1,,,,,,,,,,,
Crem,Ly75,Vmn1r71,,,,,,,,,,,,,Vmn2r121,Casp12,Stard3,,,,,,,,,,,
Atp11a,AW209491,Zpbp,,,,,,,,,,,,,Lypd6,Chek2,Rfc2,,,,,,,,,,,
Tfb2m,4921524J17Rik,Gm5420,,,,,,,,,,,,,ENSMUSG00000047911,Rinl,Invs,,,,,,,,,,,
Homer1,Mtrf1l,Cdkn2a,,,,,,,,,,,,,Kcnd3,Runx1t1,Fuom,,,,,,,,,,,
Zpr1,Crlf3,Adam21,,,,,,,,,,,,,Mro,Glipr1,Plcb3,,,,,,,,,,,
Cdc16,Reck,ENSMUSG00000050765,,,,,,,,,,,,,Mmp3,Zfp455,Plekhg3,,,,,,,,,,,
Epm2aip1,Wipi1,H2-Oa,,,,,,,,,,,,,Chrnd,Olfr354,Wdr3,,,,,,,,,,,
Glrx5,Ppcs,Hpca,,,,,,,,,,,,,ENSMUSG00000042604,Olfr981,Zfp276,,,,,,,,,,,
Pcm1,Mbd5,ENSMUSG00000014782,,,,,,,,,,,,,ENSMUSG00000047085,Foxf1,Eftud2,,,,,,,,,,,
Vma21,Btg2,ENSMUSG00000097216,,,,,,,,,,,,,ENSMUSG00000047686,Rtn1,Naa38,,,,,,,,,,,
Fzd4,Zbtb9,Olfr697,,,,,,,,,,,,,Mboat4,Dffb,,,,,,,,,,,,
Qrich1,Anxa1,Insrr,,,,,,,,,,,,,Mup4,Gins3,,,,,,,,,,,,
Cul2,Psmd10,2810408A11Rik,,,,,,,,,,,,,Olfr430,Tmem198b,,,,,,,,,,,,
Slc25a17,Olfr1372-ps1,Cnga1,,,,,,,,,,,,,ENSMUSG00000063374,Apol7e,,,,,,,,,,,,
Mlh3,Atp23,Nox1,,,,,,,,,,,,,Olfr224,Srd5a2,,,,,,,,,,,,
Tnfrsf1b,Rasa2,Pcdhb12,,,,,,,,,,,,,Cacna2d2,Clspn,,,,,,,,,,,,
Gm20300,Aspa,Gucy2e,,,,,,,,,,,,,4930583K01Rik,Pik3r6,,,,,,,,,,,,
Irf7,D3Ertd751e,Itgad,,,,,,,,,,,,,Slain1,Rgs20,,,,,,,,,,,,
Pbx1,Ddx20,Tyr,,,,,,,,,,,,,Klhl1,Cacnb4,,,,,,,,,,,,
Pogz,Peg13,4930404N11Rik,,,,,,,,,,,,,Tram1l1,Ncr1,,,,,,,,,,,,
Fam114a2,Lhfpl2,Acss2os,,,,,,,,,,,,,Gal3st3,Cxcr2,,,,,,,,,,,,
Foxp1,Caap1,Msx2,,,,,,,,,,,,,ENSMUSG00000100553,Fanci,,,,,,,,,,,,
Pgap1,Slc35e3,ENSMUSG00000042477,,,,,,,,,,,,,Traip,Ccdc73,,,,,,,,,,,,
Ppp1r7,Zfp516,A630095N17Rik,,,,,,,,,,,,,Il1r2,Gpr153,,,,,,,,,,,,
Psip1,Leprot,Pdxk-ps,,,,,,,,,,,,,Olfr576,P2ry10,,,,,,,,,,,,
Oser1,Cryzl1,Gpr156,,,,,,,,,,,,,Nrcam,Smim6,,,,,,,,,,,,
H2-Q4,Scd2,Stc1,,,,,,,,,,,,,Ttll9,Cep112,,,,,,,,,,,,
Psmd5,Mtm1,Gm20362,,,,,,,,,,,,,Tdrd12,Scn8a,,,,,,,,,,,,
Cstf2,Thap4,H2ac15,,,,,,,,,,,,,ENSMUSG00000063777,A830082N09Rik,,,,,,,,,,,,
Ubr1,Nrg4,Glycam1,,,,,,,,,,,,,Mmp24,Milr1,,,,,,,,,,,,
Ppig,Rpf2,Nme5,,,,,,,,,,,,,Slc28a3,Slc9a7,,,,,,,,,,,,
Hnrnpdl,Smad7,Greb1,,,,,,,,,,,,,ENSMUSG00000093920,Dtna,,,,,,,,,,,,
Gpd2,Dennd2d,Snora65,,,,,,,,,,,,,4930524O05Rik,Cenpf,,,,,,,,,,,,
Sub1,Ano10,Rcor2,,,,,,,,,,,,,Skint7,Olfr1321,,,,,,,,,,,,
Mat2b,Polr2h,Gm7102,,,,,,,,,,,,,Syt2,Agap2,,,,,,,,,,,,
Fyttd1,Ddx55,ENSMUSG00000028139,,,,,,,,,,,,,ENSMUSG00000079628,Dusp14,,,,,,,,,,,,
Mrpl33,Apobec1,ENSMUSG00000071234,,,,,,,,,,,,,Rnase10,Ctcfl,,,,,,,,,,,,
Plekha3,Stxbp6,Htr3b,,,,,,,,,,,,,ENSMUSG00000094878,Cdk1,,,,,,,,,,,,
Mrpl39,Hps4,ENSMUSG00000034000,,,,,,,,,,,,,Gm12886,Olfr381,,,,,,,,,,,,
Hgsnat,Maml2,Olfr678,,,,,,,,,,,,,Serpina3j,2810410L24Rik,,,,,,,,,,,,
1110059E24Rik,Hhip,Tectb,,,,,,,,,,,,,Tssk4,Abca4,,,,,,,,,,,,
Fam199x,Fiz1,Lvrn,,,,,,,,,,,,,Gm9961,Cd14,,,,,,,,,,,,
Dock1,Rel,ENSMUSG00000023165,,,,,,,,,,,,,Slc22a8,Arhgap15,,,,,,,,,,,,
Mrps35,Mitd1,Krt35,,,,,,,,,,,,,Btbd16,Cdyl2,,,,,,,,,,,,
Angel2,Ears2,Gng3,,,,,,,,,,,,,Il4,Mapk8ip1,,,,,,,,,,,,
Gnpda1,Gm10658,Olfr1431,,,,,,,,,,,,,Zmat4,Myl9,,,,,,,,,,,,
Rbm4,Asf1a,Fbxo48,,,,,,,,,,,,,Wnt16,A230072E10Rik,,,,,,,,,,,,
Utp14a,Nsmce1,ENSMUSG00000075073,,,,,,,,,,,,,Rab39b,Slc25a27,,,,,,,,,,,,
Fnta,Pdcd2,4930488B22Rik,,,,,,,,,,,,,Ccr10,Actn2,,,,,,,,,,,,
Mtmr9,Sirt5,ENSMUSG00000060572,,,,,,,,,,,,,5430421F17Rik,Kif22,,,,,,,,,,,,
Snx3,Rbm34,Idi2,,,,,,,,,,,,,Tmem117,Gpr174,,,,,,,,,,,,
Ufm1,Ubox5,ENSMUSG00000078307,,,,,,,,,,,,,ENSMUSG00000027720,4933439C10Rik,,,,,,,,,,,,
Clybl,Gimap9,Efcab9,,,,,,,,,,,,,ENSMUSG00000073293,Lsp1,,,,,,,,,,,,
Stx16,Hypk,Mkrn3,,,,,,,,,,,,,1700028D13Rik,Cachd1,,,,,,,,,,,,
Vps26c,Phf11d,Arnt2,,,,,,,,,,,,,Efcab5,Prokr2,,,,,,,,,,,,
Chd6,Ubac1,Hus1b,,,,,,,,,,,,,ENSMUSG00000038560,Klrb1c,,,,,,,,,,,,
Cilk1,Cttnbp2nl,ENSMUSG00000045291,,,,,,,,,,,,,Chrng,Gk5,,,,,,,,,,,,
Mrpl16,Gucy1b1,Olfr453,,,,,,,,,,,,,Fndc8,Gfpt2,,,,,,,,,,,,
Etl4,Pus3,Zfp735,,,,,,,,,,,,,Cxcl17,Gm4013,,,,,,,,,,,,
Sf1,Tbc1d1,Grik1,,,,,,,,,,,,,Olfr307,Chaf1a,,,,,,,,,,,,
Ube2j2,Fbxo32,ENSMUSG00000067577,,,,,,,,,,,,,ENSMUSG00000012777,Flrt2,,,,,,,,,,,,
Dpy30,Ipp,ENSMUSG00000031022,,,,,,,,,,,,,Vmn1r210,AA465934,,,,,,,,,,,,
Peli1,Jade2,Ager,,,,,,,,,,,,,ENSMUSG00000023473,Tctn1,,,,,,,,,,,,
Zmat2,Rb1,ENSMUSG00000086264,,,,,,,,,,,,,Nhlrc4,9430091E24Rik,,,,,,,,,,,,
Cecr2,Zup1,9530036O11Rik,,,,,,,,,,,,,ENSMUSG00000063430,Kctd13,,,,,,,,,,,,
Btbd7,Atg16l2,ENSMUSG00000040969,,,,,,,,,,,,,Sln,Capg,,,,,,,,,,,,
Mapre1,Socs5,ENSMUSG00000020875,,,,,,,,,,,,,Try4,Taf9b,,,,,,,,,,,,
Vwa5a,Ccr5,Adam24,,,,,,,,,,,,,Myom2,Lingo4,,,,,,,,,,,,
Zbtb41,She,Mir378b,,,,,,,,,,,,,Neurod2,C330022C24Rik,,,,,,,,,,,,
Arih2,Rars2,Map7d3,,,,,,,,,,,,,Tppp3,Spa17,,,,,,,,,,,,
Phospho2,Arf2,ENSMUSG00000032494,,,,,,,,,,,,,Mir875,Gm14308,,,,,,,,,,,,
Arf6,Piga,Kcng2,,,,,,,,,,,,,Trim46,Galnt18,,,,,,,,,,,,
Rasal2,Topbp1,Gpr75,,,,,,,,,,,,,Gm10549,Exo5,,,,,,,,,,,,
Ube2j1,Cited2,4930593C16Rik,,,,,,,,,,,,,ENSMUSG00000086191,E030018B13Rik,,,,,,,,,,,,
Relch,Tab3,Fbxo43,,,,,,,,,,,,,Ccl8,Rasgrf1,,,,,,,,,,,,
Tgfbi,Rab8b,Vmn1r223,,,,,,,,,,,,,Pnliprp1,Tmem229b,,,,,,,,,,,,
Ccnd2,Rcor3,Egr3,,,,,,,,,,,,,9830107B12Rik,Cep78,,,,,,,,,,,,
P2ry4,Rcan2,ENSMUSG00000013611,,,,,,,,,,,,,Olfr308,Sntg1,,,,,,,,,,,,
Atg4a,Snhg12,Olfr681,,,,,,,,,,,,,Slc6a7,Chrd,,,,,,,,,,,,
Sec22a,Trim14,Terb1,,,,,,,,,,,,,Lenep,Olfr1341,,,,,,,,,,,,
Frs2,Golt1b,Fbxw20,,,,,,,,,,,,,Gm13547,Slc7a1,,,,,,,,,,,,
Ufd1,Kifap3,ENSMUSG00000056306,,,,,,,,,,,,,Piwil1,Coil,,,,,,,,,,,,
Zfp110,Chd1l,ENSMUSG00000087070,,,,,,,,,,,,,Ccn3,Fhod3,,,,,,,,,,,,
Atp6v1e1,Grk3,Gpr1,,,,,,,,,,,,,A330041J22Rik,Mthfd1l,,,,,,,,,,,,
Heatr3,Fam124a,Macroh2a3,,,,,,,,,,,,,1700110C19Rik,Fancf,,,,,,,,,,,,
Acbd3,Gsta2,Emid1,,,,,,,,,,,,,1700028B04Rik,Olfr1269,,,,,,,,,,,,
Slc46a3,Naa40,Chn1,,,,,,,,,,,,,ENSMUSG00000086236,Sema3c,,,,,,,,,,,,
Xrn1,Rtel1,1700016D06Rik,,,,,,,,,,,,,ENSMUSG00000030000,1110020A21Rik,,,,,,,,,,,,
Cwc15,Dis3l2,Ceacam3,,,,,,,,,,,,,Frem3,Sulf1,,,,,,,,,,,,
Zfp146,Abt1,Sdr16c5,,,,,,,,,,,,,Olfr1477,Dynlt1a,,,,,,,,,,,,
Brd8,Zfp975,4933406J10Rik,,,,,,,,,,,,,Acsl6,Tmc4,,,,,,,,,,,,
Wbp4,Zfp830,ENSMUSG00000046345,,,,,,,,,,,,,Arhgap27os3,Itm2a,,,,,,,,,,,,
Adam17,Flvcr1,Zfp296,,,,,,,,,,,,,Olfr658,Pycr2,,,,,,,,,,,,
Harbi1,Zfp961,Trnp1,,,,,,,,,,,,,Six3,Ackr2,,,,,,,,,,,,
Timm29,Plekhf2,Tff2,,,,,,,,,,,,,ENSMUSG00000050966,Gabrb3,,,,,,,,,,,,
Dstyk,2810013P06Rik,Fgf23,,,,,,,,,,,,,Olfr71,Olfr1129,,,,,,,,,,,,
Wdr45b,Rassf6,ENSMUSG00000019772,,,,,,,,,,,,,Gm20757,Pilra,,,,,,,,,,,,
Galnt1,Etaa1,Tmc5,,,,,,,,,,,,,Olfr776,Txk,,,,,,,,,,,,
Klhl5,Itgb1bp1,ENSMUSG00000118267,,,,,,,,,,,,,Adamts17,1700086O06Rik,,,,,,,,,,,,
Sat1,Exosc9,4930563M21Rik,,,,,,,,,,,,,Pcdhb13,S100a4,,,,,,,,,,,,
Smarcc1,Zfp953,Gm16796,,,,,,,,,,,,,Slc5a2,Gen1,,,,,,,,,,,,
Zfp715,Usp37,Rrad,,,,,,,,,,,,,Sdcbp2,Fancb,,,,,,,,,,,,
Skap2,Lama1,Rex2,,,,,,,,,,,,,ENSMUSG00000045440,Ttbk1,,,,,,,,,,,,
Ate1,Ccl25,ENSMUSG00000039814,,,,,,,,,,,,,Tnfaip6,Veph1,,,,,,,,,,,,
Abhd15,Pde12,ENSMUSG00000054526,,,,,,,,,,,,,Endou,Cpxm1,,,,,,,,,,,,
Nsdhl,Carmil1,Muc5b,,,,,,,,,,,,,ENSMUSG00000086954,Slc15a2,,,,,,,,,,,,
Rbsn,Prdm9,Slc6a21,,,,,,,,,,,,,Otp,Ppp1r42,,,,,,,,,,,,
Rnpep,Psmg2,Pcdhb5,,,,,,,,,,,,,Ces2d-ps,Olfr351,,,,,,,,,,,,
Cnih1,Gmeb1,Ect2l,,,,,,,,,,,,,Frs3os,Mgat4a,,,,,,,,,,,,
Slc41a2,Tbc1d32,ENSMUSG00000030158,,,,,,,,,,,,,Ppp2r2c,Gm20257,,,,,,,,,,,,
Sephs1,9930111J21Rik2,Cdk3,,,,,,,,,,,,,Cltrn,Zan,,,,,,,,,,,,
Tsc1,Fam133b,Olfr1463,,,,,,,,,,,,,Ccdc92,3000002C10Rik,,,,,,,,,,,,
Pja2,Ophn1,Krtap3-2,,,,,,,,,,,,,Fmo6,Rundc3b,,,,,,,,,,,,
Esyt2,Parp2,Arc,,,,,,,,,,,,,Prkcg,Ankrd9,,,,,,,,,,,,
Senp6,Zfp758,1700020G17Rik,,,,,,,,,,,,,Sowaha,Phf11b,,,,,,,,,,,,
Emc2,Foxp2,Slco4a1,,,,,,,,,,,,,Lyz1,Gzma,,,,,,,,,,,,
Fkbp3,Wdr35,Fam78b,,,,,,,,,,,,,Prrt1,Tmem51,,,,,,,,,,,,
Fryl,Dgat1,Pdcd1,,,,,,,,,,,,,ENSMUSG00000066688,Olfr1120,,,,,,,,,,,,
Ginm1,Lyrm1,Cend1,,,,,,,,,,,,,Padi4,Fgf11,,,,,,,,,,,,
Clcc1,Zw10,1810062O18Rik,,,,,,,,,,,,,Aplp1,4930480G23Rik,,,,,,,,,,,,
Ythdf2,Gtf2e2,ENSMUSG00000062483,,,,,,,,,,,,,Olfr24,Spata6,,,,,,,,,,,,
Ist1,Maf1,Scx,,,,,,,,,,,,,Pcdhb4,Anln,,,,,,,,,,,,
Hdac3,Cpne8,ENSMUSG00000022012,,,,,,,,,,,,,ENSMUSG00000037735,Kbtbd11,,,,,,,,,,,,
Pan3,Sec22c,Cdh24,,,,,,,,,,,,,Tmem35a,Gpr157,,,,,,,,,,,,
Saa1,Cd93,Oscar,,,,,,,,,,,,,Sis,4930525G20Rik,,,,,,,,,,,,
Tsg101,Arhgap17,Aicda,,,,,,,,,,,,,Slfn5os,Zfp850,,,,,,,,,,,,
Spg20,Max,Fbxo15,,,,,,,,,,,,,Liph,Plcg2,,,,,,,,,,,,
Rpain,Tmem179b,Atp1b4,,,,,,,,,,,,,Trim10,Cd79b,,,,,,,,,,,,
Diaph2,Plek,ENSMUSG00000038311,,,,,,,,,,,,,ENSMUSG00000056018,Tmem266,,,,,,,,,,,,
Drg1,Pgm2l1,Gm14812,,,,,,,,,,,,,ENSMUSG00000045569,Ly6h,,,,,,,,,,,,
Sumo1,Ccnk,Trpm8,,,,,,,,,,,,,Slit1,Suv39h2,,,,,,,,,,,,
Stx7,Alg8,Sh2d5,,,,,,,,,,,,,ENSMUSG00000000617,B230208H11Rik,,,,,,,,,,,,
Tgfbr1,Tgif1,Olfr1356,,,,,,,,,,,,,Pou6f2,Hvcn1,,,,,,,,,,,,
Orc4,Scnn1a,Nudt11,,,,,,,,,,,,,ENSMUSG00000029510,1700034J05Rik,,,,,,,,,,,,
Mdm2,Fbxo28,Fem1al,,,,,,,,,,,,,Fxyd2,Cd300lb,,,,,,,,,,,,
Ppp6c,Tgtp1,9830132P13Rik,,,,,,,,,,,,,Ppp1r1a,Nek3,,,,,,,,,,,,
Fnbp1l,Fam118b,Zfp987,,,,,,,,,,,,,Olfr9,Slfn1,,,,,,,,,,,,
Trmt10c,Zfp959,4930527F14Rik,,,,,,,,,,,,,1700102P08Rik,Ifi44l,,,,,,,,,,,,
Atp6ap2,Nsmce3,Zfp239,,,,,,,,,,,,,Vmn1r52,Nlrp5-ps,,,,,,,,,,,,
Thap12,Stk39,ENSMUSG00000099349,,,,,,,,,,,,,Ngp,Slc4a8,,,,,,,,,,,,
Dpm1,Rfx3,Arxes2,,,,,,,,,,,,,Cts8,Wdr5b,,,,,,,,,,,,
Adal,Ccbe1,Reep2,,,,,,,,,,,,,Gm12238,Ska2,,,,,,,,,,,,
Dnajb14,Ccdc137,ENSMUSG00000070532,,,,,,,,,,,,,1700121L16Rik,Exog,,,,,,,,,,,,
Vezt,Arhgef15,Olfr798,,,,,,,,,,,,,Olfr1259,Cyp4f16,,,,,,,,,,,,
Slfn5,Ercc4,Gm10635,,,,,,,,,,,,,Abca14,Pde6d,,,,,,,,,,,,
Ciao2a,Tlr4,Nyap1,,,,,,,,,,,,,Ppp1r1c,Btnl10,,,,,,,,,,,,
Slf2,Xkr8,Lrrtm1,,,,,,,,,,,,,Pcdhb10,Cdpf1,,,,,,,,,,,,
Ercc6l2,Ankrd10,ENSMUSG00000026824,,,,,,,,,,,,,ENSMUSG00000029337,Sfxn4,,,,,,,,,,,,
Uchl5,Rrnad1,ENSMUSG00000051314,,,,,,,,,,,,,Qrfp,Slc2a13,,,,,,,,,,,,
Mthfs,Orc6,Vmn1r8,,,,,,,,,,,,,Mybpc3,Zfp354c,,,,,,,,,,,,
Ptk2,Zfand2a,ENSMUSG00000078532,,,,,,,,,,,,,ENSMUSG00000059504,Ubash3b,,,,,,,,,,,,
Rbbp6,Zfp235,Gm15097,,,,,,,,,,,,,Mir186,Cd244a,,,,,,,,,,,,
Slc25a32,Csf2rb,Pate2,,,,,,,,,,,,,ENSMUSG00000022053,Celf4,,,,,,,,,,,,
Palmd,Gm10033,1700048M11Rik,,,,,,,,,,,,,Csn3,Rsl1,,,,,,,,,,,,
Rbms1,Atrip,Havcr1,,,,,,,,,,,,,Dll3,Xrcc2,,,,,,,,,,,,
Rbbp9,Exd2,Gpr165,,,,,,,,,,,,,Mir5098,Ccdc173,,,,,,,,,,,,
Adam23,Sh2d4a,Gm10649,,,,,,,,,,,,,Slc6a20a,Mecom,,,,,,,,,,,,
Rmnd1,Ctps2,Olfr116,,,,,,,,,,,,,A530016L24Rik,Epha4,,,,,,,,,,,,
Gabarapl2,Tent5c,Olfr822,,,,,,,,,,,,,4930405A10Rik,Spire1,,,,,,,,,,,,
Slco2a1,Zfp263,ENSMUSG00000048292,,,,,,,,,,,,,Olfr816,P3h2,,,,,,,,,,,,
Senp5,Ttc8,Gli1,,,,,,,,,,,,,Adgrg7,Dach1,,,,,,,,,,,,
Txlng,Elmo2,Spam1,,,,,,,,,,,,,Acta1,Cdca3,,,,,,,,,,,,
F2r,Gpatch2l,Syt14,,,,,,,,,,,,,Efhd1,9530080O11Rik,,,,,,,,,,,,
Eya3,Extl2,Gdf7,,,,,,,,,,,,,Krt17,Ccdc88c,,,,,,,,,,,,
Gnl3,Bcl7a,4930502E09Rik,,,,,,,,,,,,,ENSMUSG00000061525,B430306N03Rik,,,,,,,,,,,,
Pros1,Fras1,5730403I07Rik,,,,,,,,,,,,,ENSMUSG00000076121,Serpini1,,,,,,,,,,,,
Fbxl3,Tceanc2,Olfr1186,,,,,,,,,,,,,ENSMUSG00000040231,Tcf7l1,,,,,,,,,,,,
1110004F10Rik,Armc10,Olfr525,,,,,,,,,,,,,ENSMUSG00000096228,Sros1,,,,,,,,,,,,
Med23,Zfp622,Gpr143,,,,,,,,,,,,,ENSMUSG00000031364,Cd48,,,,,,,,,,,,
Rala,4632427E13Rik,Gm128,,,,,,,,,,,,,Sema4f,Rad54b,,,,,,,,,,,,
Ormdl2,Commd2,Rasl10a,,,,,,,,,,,,,Sync,Chek1,,,,,,,,,,,,
Rbm17,Ezh2,Vmn1r17,,,,,,,,,,,,,Olfr1047,Kif4,,,,,,,,,,,,
Ndrg3,Ndufaf7,Wfdc18,,,,,,,,,,,,,BC016579,Fam169a,,,,,,,,,,,,
Gdap2,Rad50,Lmx1a,,,,,,,,,,,,,S100b,Rgr,,,,,,,,,,,,
Copg2,Epm2a,ENSMUSG00000089260,,,,,,,,,,,,,Cacng7,Neto2,,,,,,,,,,,,
Mapk8,Polr1b,Vpreb3,,,,,,,,,,,,,Vmn1r167,Pgbd1,,,,,,,,,,,,
Parp16,Vta1,ENSMUSG00000018776,,,,,,,,,,,,,Rin1,Cd207,,,,,,,,,,,,
Cox20,Stard3nl,ENSMUSG00000061637,,,,,,,,,,,,,Spink4,Vmn1r203,,,,,,,,,,,,
Pitrm1,Ddx28,ENSMUSG00000035179,,,,,,,,,,,,,Slc38a5,Pdlim2,,,,,,,,,,,,
